idx,obj_value,converged,iterations,iteration_limit_reached,time_it_took,theta_hat,theta0,is_optimum,boot_idx
4,2.175004239608812e-23,true,3,false,0.0002231,"[4.7650957762541974, 0.9655299648780195]","[-0.4658959078249555, -0.7303008298610437]",0,241
5,1.4739474749775785e-24,true,4,false,0.0002478,"[4.765095776153617, 0.9655299648845935]","[-1.365080912437378, -1.3208174975844296]",0,241
6,8.785919021811566e-24,true,3,false,0.0002109,"[4.765095776204706, 0.9655299648812541]","[0.5431992343373382, 0.09271546518564394]",0,241
7,1.2663779479140979e-23,true,3,false,0.0002227,"[4.7650957762220205, 0.9655299648801225]","[-0.7590535993444354, 0.9209639329677229]",0,241
8,4.1049868966000875e-25,true,3,false,0.0002035,"[4.765095776099553, 0.9655299648881269]","[0.745620993889791, -2.216096423049429]",0,241
9,6.839179957683572e-24,true,3,false,0.000229,"[4.765095776194428, 0.9655299648819259]","[0.8442354651341021, -0.3265277272261217]",0,241
10,1.4713524761271232e-23,true,3,false,0.0002139,"[4.765095776230102, 0.9655299648795943]","[-1.0120757369891493, 1.1470306234136702]",0,241
11,8.838981366128429e-24,true,3,false,0.0002077,"[4.765095776204875, 0.9655299648812431]","[0.7232770971838263, -0.728534008508048]",0,241
12,2.9559669188088753e-24,true,3,false,0.0002124,"[4.7650957761683586, 0.96552996488363]","[0.5202990342876057, 1.1204520037446837]",0,241
13,1.0278800883388842e-26,true,3,false,0.0004723,"[4.7650957761210355, 0.965529964886723]","[1.6996228215478644, 1.0844860147154771]",1,241
14,2.7687892955579357e-23,true,3,false,0.0003442,"[4.765095776271606, 0.9655299648768814]","[-1.0989445324831357, -0.0993402202293609]",0,241
15,2.604169102106964e-24,true,3,false,0.0002535,"[4.765095776165283, 0.9655299648838309]","[1.5447563259135333, -0.22651795438142638]",0,241
16,4.237498462298909e-24,true,3,false,0.000229,"[4.765095776178246, 0.9655299648829837]","[1.7376928272513674, -1.2953938355637125]",0,241
17,9.379493194095217e-25,true,4,false,0.0002695,"[4.765095776146477, 0.96552996488506]","[-1.3972500397371668, -1.1529219835943225]",0,241
18,1.806475190364971e-23,true,3,false,0.0002008,"[4.765095776242172, 0.9655299648788054]","[-0.27322961221704645, -0.5101173409267433]",0,241
19,2.6068917092099758e-23,true,3,false,0.0002571,"[4.76509577626708, 0.9655299648771773]","[-1.7983567634893314, 0.8231200506166791]",0,241
20,2.200766128452205e-23,true,3,false,0.0002162,"[4.765095776255027, 0.9655299648779652]","[-0.6634712267123949, -0.2399591176621829]",0,241
1,1.918277048890428e-22,true,5,false,0.0004309,"[22.73840779240456, 0.3438110505178009]","[0.03833248646601629, 0.213845359778582]",0,242
2,2.3851256280681325e-22,true,5,false,0.0003075,"[22.738407792480903, 0.34381105051327154]","[-0.7042838077754542, -0.4007992090593657]",0,242
3,1.4673427766778003e-22,true,5,false,0.0002809,"[22.738407792321023, 0.34381105052275673]","[1.4214984593810815, -0.5777261953257666]",0,242
4,2.3897406205578875e-22,true,5,false,0.0003785,"[22.73840779248163, 0.34381105051322836]","[-0.4658959078249555, -0.7303008298610437]",0,242
5,3.471096221945187e-22,true,5,false,0.0002951,"[22.738407792633943, 0.34381105050419203]","[-1.365080912437378, -1.3208174975844296]",0,242
6,1.710759216158902e-22,true,5,false,0.0002841,"[22.738407792367525, 0.34381105051999783]","[0.5431992343373382, 0.09271546518564394]",0,242
7,2.0082683561480826e-22,true,5,false,0.0002673,"[22.738407792419906, 0.3438110505168903]","[-0.7590535993444354, 0.9209639329677229]",0,242
8,2.477679424242925e-22,true,5,false,0.0002676,"[22.73840779249514, 0.343811050512427]","[0.745620993889791, -2.216096423049429]",0,242
9,1.645643878700791e-22,true,5,false,0.0002711,"[22.73840779235539, 0.343811050520718]","[0.8442354651341021, -0.3265277272261217]",0,242
10,2.031422531219891e-22,true,5,false,0.000332,"[22.738407792423786, 0.34381105051666006]","[-1.0120757369891493, 1.1470306234136702]",0,242
11,1.810520781017363e-22,true,5,false,0.0002714,"[22.73840779238555, 0.3438110505189287]","[0.7232770971838263, -0.728534008508048]",0,242
12,1.37918066625641e-22,true,5,false,0.0002595,"[22.738407792303356, 0.3438110505238052]","[0.5202990342876057, 1.1204520037446837]",0,242
13,9.668333168915071e-23,true,5,false,0.0002638,"[22.738407792211646, 0.3438110505292461]","[1.6996228215478644, 1.0844860147154771]",1,242
14,2.5108752395185516e-22,true,5,false,0.000493,"[22.738407792500244, 0.34381105051212424]","[-1.0989445324831357, -0.0993402202293609]",0,242
15,1.3485467078827584e-22,true,5,false,0.0022217,"[22.738407792297014, 0.3438110505241812]","[1.5447563259135333, -0.22651795438142638]",0,242
16,1.6809382773826238e-22,true,5,false,0.0003433,"[22.73840779236201, 0.3438110505203251]","[1.7376928272513674, -1.2953938355637125]",0,242
17,3.2809490153945936e-22,true,5,false,0.0002976,"[22.738407792609138, 0.34381105050566374]","[-1.3972500397371668, -1.1529219835943225]",0,242
